,ID,Attraction,Violation,Condition,ilm_sent_mean_surp,ilm_target_mean_surp,distilgpt2_sent_mean_surp,distilgpt2_target_mean_surp,gptneo_sent_mean_surp,gptneo_target_mean_surp,ilm_len_tokens,distilgpt2_len_tokens,gptneo_len_tokens,attraction,violation,morphosyntactic_violation,semantic_violation,morphosyntactic_attraction,semantic_attraction
119,24,semantic,semantic,d,6.22,12.26,6.96,11.42,5.7,9.52,8,8,8,1,1,0,1,0,1
120,25,none,none,s,6.0,6.28,6.79,6.61,6.2,4.93,9,9,9,0,0,0,0,0,0
121,25,none,morphosyntactic,a,7.2,17.18,8.19,17.34,7.01,13.83,8,8,8,0,1,1,0,0,0
122,25,morphosyntactic,morphosyntactic,b,7.43,15.3,8.36,15.47,7.31,12.86,8,8,8,1,1,1,0,1,0
123,25,none,semantic,c,6.68,12.83,7.86,13.75,7.15,13.42,8,8,8,0,1,0,1,0,0
124,25,semantic,semantic,d,6.44,12.43,7.65,13.81,6.95,12.43,8,8,8,1,1,0,1,0,1
125,26,none,none,s,5.41,6.19,6.2,6.68,5.42,6.2,10,10,10,0,0,0,0,0,0
126,26,none,morphosyntactic,a,6.62,12.4,7.26,11.8,6.6,12.13,9,9,9,0,1,1,0,0,0
127,26,morphosyntactic,morphosyntactic,b,6.5,9.9,7.36,9.96,6.83,11.15,9,9,9,1,1,1,0,1,0
128,26,none,semantic,c,6.62,13.86,7.46,14.13,7.32,19.75,8,8,8,0,1,0,1,0,0
129,26,semantic,semantic,d,6.81,11.83,7.47,12.0,7.03,14.24,9,9,9,1,1,0,1,0,1
130,27,none,none,s,7.7,10.95,8.14,10.2,8.11,10.96,8,8,8,0,0,0,0,0,0
131,27,none,morphosyntactic,a,7.41,7.95,7.9,7.21,7.91,8.42,8,8,8,0,1,1,0,0,0
132,27,morphosyntactic,morphosyntactic,b,7.48,7.6,8.1,6.79,8.29,8.06,8,8,8,1,1,1,0,1,0
133,27,none,semantic,c,5.97,6.34,6.72,7.64,6.2,6.85,10,10,10,0,1,0,1,0,0
134,27,semantic,semantic,d,5.72,5.93,6.65,7.11,5.97,6.45,10,10,10,1,1,0,1,0,1
